ID	DOCULECT	CONCEPT	COGID	COGNACY	VALUE	BORROWING	FORM	TOKENS
1886	Tulu	all	339	all-G	Ma:ta		Ma:ta	m aː t a
2233	Betta_Kurumba	all	551	all-H	o:ʈəja		o:ʈəja	oː ʈ ə j a
2866	Kuwi	all	573	all-I	hara		hara	h a r a
2445	Brahui	all	574	all-J	kull		kull	k u lː
2982	Malto	all	575	all-K	go:ʈahi:		go:ʈahi:	g oː ʈ a h iː
2983	Malto	all	576	all-L	gi:ʈeni:		gi:ʈeni:	g iː ʈ e n iː
2340	Kurukh	all	577	all-M	majin		majin	m a j i n
2659	Kolami	all	578	all-N	ma:k		ma:k	m aː k
2551	Gondi	all	579	all-O	bottig		bottig	b o tː i g
1552	Malayalam	ashes	3	ashes-A	tʃa:mbal		tʃa:mbal	tʃ aː m b a l
1551	Malayalam	ashes	3	ashes-A	tʃa:ɾam		tʃa:ɾam	tʃ aː ɾ a m
2193	Tamil	ashes	3	ashes-A	sa:mbal		sa:mbal	s aː m b a l
1859	Badga	ashes	4	ashes-B	kolabu:di		kolabu:di	k o l a b uː d i
2312	Betta_Kurumba	ashes	4	ashes-B	pi:di		pi:di	p iː d i
1329	Kannada	ashes	4	ashes-B	bu:di		bu:di	b uː d i
1429	Kodava	ashes	4	ashes-B	bu:di		bu:di	b uː d i
2839	Kota	ashes	4	ashes-B	po:du atukə		po:du atukə	p oː d u # a t u k ə
1223	Koya	ashes	4	ashes-B	bu:ɖida		bu:ɖida	b uː ɖ i d a
847	Telugu	ashes	4	ashes-B	bu:ɖida		bu:ɖida	b uː ɖ i d a
2063	Toda	ashes	4	ashes-B	pu:di		pu:di	p uː d i
1653	Yeruva	ashes	4	ashes-B	bu:di		bu:di	b uː d i
1960	Tulu	ashes	557	ashes-C	tʃu:nja		tʃu:nja	tʃ uː n j a
1961	Tulu	ashes	557	ashes-C	tʃo:nja		tʃo:nja	tʃ oː n j a
2630	Gondi	ashes	187	ashes-D	ni:ɾ		ni:ɾ	n iː ɾ
3173	Ollari_Gadba	ashes	187	ashes-D	niɖ		niɖ	n i ɖ
403	Parji	ashes	187	ashes-D	nīd		nīd	n iː d
2524	Brahui	ashes	805	ashes-F	his		his	h i s
2735	Kolami	ashes	806	ashes-G	buggi		buggi	b u gː i
2417	Kurukh	ashes	807	ashes-H	tʃind		tʃind	tʃ i n d
1799	Badga	bark	6	bark-A	paʈʈe		paʈʈe	p a ʈː e
2222	Kodava	bark	6	bark-A	aʈʈe		aʈʈe	a ʈː e
10	Malayalam	bark	6	bark-A	paṭṭa		paṭṭa	p a ʈː a
2123	Tamil	bark	6	bark-A	paʈʈe		paʈʈe	p a ʈː e
11	Telugu	bark	6	bark-A	paṭṭa		paṭṭa	p a ʈː a
12	Kannada	bark	7	bark-B	nāru		nāru	n aː r u
2359	Kurukh	bark	188	bark-C	o:ɖak		o:ɖak	oː ɖ a k
1153	Koya	bark	302	bark-D	beɾaɖu		beɾaɖu	b e ɾ a ɖ u
778	Telugu	bark	302	bark-D	beɾaɖu		beɾaɖu	b e ɾ a ɖ u
1372	Kodava	bark	428	bark-E	tʃekke		tʃekke	tʃ e kː e
1152	Koya	bark	431	bark-F	danʈi		danʈi	d a n ʈ i
1270	Kannada	bark	432	bark-G	togaʈi		togaʈi	t o g a ʈ i
2004	Toda	bark	433	bark-H	puʈkoɾi		puʈkoɾi	p u ʈ k o ɾ i
1903	Tulu	bark	434	bark-I	ketta		ketta	k e tː a
2570	Gondi	bark	435	bark-J	to:l		to:l	t oː l
1595	Yeruva	bark	435	bark-J	to:lu		to:lu	t oː l u
2250	Betta_Kurumba	bark	436	bark-K	meɾto:lə		meɾto:lə	m e ɾ t oː l ə
1483	Malayalam	bark	436	bark-K	maɾattoli		maɾattoli	m a ɾ a tː o l i
2462	Brahui	bark	640	bark-L	bund		bund	b u n d
2676	Kolami	bark	641	bark-M	ɖanɖi maɖɖa		ɖanɖi maɖɖa	ɖ a n ɖ i # m a ɖː a
2779	Kota	bark	866	bark-N	kollutʃo		kollutʃo	k o lː u tʃ o
1516	Malayalam	belly	8	belly-A	ʋajaɾə		ʋajaɾə	ʋ a j a ɾ ə
13	Tamil	belly	8	belly-A	vayiṟu		vayiṟu	v a y i r̪ u
2028	Toda	belly	8	belly-A	piɾ		piɾ	p i ɾ
1927	Tulu	belly	8	belly-A	bandʒi		bandʒi	b a n dʒ i
1619	Yeruva	belly	8	belly-A	baiɾu		baiɾu	b a i ɾ u
1620	Yeruva	belly	8	belly-A	ba:ɾə		ba:ɾə	b aː ɾ ə
1825	Badga	belly	9	belly-B	oʈʈe		oʈʈe	o ʈː e
2275	Betta_Kurumba	belly	9	belly-B	poʈʈi		poʈʈi	p o ʈː i
15	Kannada	belly	9	belly-B	hoṭṭe		hoṭṭe	h o ʈː e
1295	Kannada	belly	9	belly-B	hoʈʈa		hoʈʈa	h o ʈː a
1395	Kodava	belly	9	belly-B	poʈʈe		poʈʈe	p o ʈː e
3028	Malto	belly	9	belly-B	puɖa:		puɖa:	p u ɖ aː
408	Parji	belly	9	belly-B	poṭṭa		poṭṭa	p o ʈː a
809	Telugu	belly	9	belly-B	poʈʈa		poʈʈa	p o ʈː a
2083	Telugu	belly	10	belly-C	kaɖupu		kaɖupu	k a ɖ u p u
1185	Koya	belly	359	belly-D	ɖokka		ɖokka	ɖ o kː a
2153	Tamil	belly	356	belly-E	tonti		tonti	t o n t i
2152	Tamil	belly	360	belly-F	toppai		toppai	t o pː a i
2383	Kurukh	belly	708	belly-G	ku:l		ku:l	k uː l
2489	Brahui	belly	709	belly-H	peɖʰ		peɖʰ	p e ɖʰ
2594	Gondi	belly	709	belly-H	pi:ɾ		pi:ɾ	p iː ɾ
3140	Ollari_Gadba	belly	709	belly-H	pudug		pudug	p u d u g
2911	Kuwi	belly	710	belly-I	banɖi		banɖi	b a n ɖ i
2700	Kolami	belly	711	belly-J	ʈeʈʈe		ʈeʈʈe	ʈ e ʈː e
2804	Kota	belly	712	belly-K	naɖpe:ʈgu		naɖpe:ʈgu	n a ɖ p eː ʈ g u
2556	Gondi	big	11	big-A	pedda		pedda	p e d d a
1137	Koya	big	11	big-A	beɾɾa		beɾɾa	b e ɾ ɾ a
2870	Kuwi	big	11	big-A	be:ɾ		be:ɾ	b eː ɾ
2990	Malto	big	11	big-A	be:ɖo		be:ɖo	b eː ɖ o
412	Parji	big	11	big-A	berto		berto	b e r t o
2105	Tamil	big	11	big-A	peɾija		peɾija	p e ɾ i j a
2106	Tamil	big	11	big-A	perəsə		perəsə	p e r ə s ə
759	Telugu	big	11	big-A	pedda		pedda	p e d d a
1359	Kodava	big	12	big-B	baljadə		baljadə	b a l j a d ə
1464	Malayalam	big	12	big-B	ʋaludə		ʋaludə	ʋ a l u d ə
1582	Yeruva	big	12	big-B	baleji		baleji	b a l e j i
1784	Badga	big	13	big-C	doɖɖadə		doɖɖadə	d o ɖː a d ə
1257	Kannada	big	13	big-C	doɖɖadu		doɖɖadu	d o ɖː a d u
1890	Tulu	big	350	big-D	malla		malla	m a lː a
1991	Toda	big	351	big-E	ittu:ɖə		ittu:ɖə	i tː uː ɖ ə
2237	Betta_Kurumba	big	554	big-F	dappu		dappu	d a pː u
2449	Brahui	big	592	big-G	ballun		ballun	b a lː u n
2344	Kurukh	big	593	big-H	koha		koha	k o h a
3102	Ollari_Gadba	big	594	big-I	muɾe		muɾe	m u ɾ e
2766	Kota	big	595	big-J	toɖut		toɖut	t o ɖ u t
2116	Tamil	bird	14	bird-A	paɾaʋai		paɾaʋai	p a ɾ a ʋ a i
1997	Toda	bird	14	bird-A	paɾaʋai		paɾaʋai	p a ɾ a ʋ a i
2243	Betta_Kurumba	bird	15	bird-B	pikki	LOAN	pikki	p i kː i
23	Kannada	bird	15	bird-B	hakki	LOAN	hakki	h a kː i
1263	Kannada	bird	15	bird-B	pakʂi	LOAN	pakʂi	p a k ʂ i
1365	Kodava	bird	15	bird-B	pakʂi	LOAN	pakʂi	p a k ʂ i
2772	Kota	bird	15	bird-B	pakkigaɭ	LOAN	pakkigaɭ	p a kː i g a ɭ
1473	Malayalam	bird	15	bird-B	pakʂi	LOAN	pakʂi	p a k ʂ i
768	Telugu	bird	15	bird-B	pakʂi	LOAN	pakʂi	p a k ʂ i
1896	Tulu	bird	15	bird-B	pakki	LOAN	pakki	p a kː i
1588	Yeruva	bird	15	bird-B	paktʃi	LOAN	paktʃi	p a k tʃ i
2562	Gondi	bird	191	bird-C	piʈʈə		piʈʈə	p i ʈː ə
2669	Kolami	bird	191	bird-C	piʈʈa		piʈʈa	p i ʈː a
1145	Koya	bird	191	bird-C	piʈʈe:ku		piʈʈe:ku	p i ʈː eː k u
769	Telugu	bird	191	bird-C	pitta		pitta	p i tː a
1474	Malayalam	bird	437	bird-D	kili		kili	k i l i
2880	Kuwi	bird	622	bird-E	minu	EXCLUDE	minu	m i n u
2997	Malto	bird	623	bird-F	pudʒudu		pudʒudu	p u dʒ u d u
2455	Brahui	bird	624	bird-G	tʃok		tʃok	tʃ o k
2351	Kurukh	bird	625	bird-H	oɖa		oɖa	o ɖ a
3108	Ollari_Gadba	bird	626	bird-I	titə		titə	t i t ə
2282	Betta_Kurumba	bite	16	bite-A	kaɖi ~ kajɾi		kaɖi	k a ɖ i
2496	Brahui	bite	16	bite-A	kaat kanning		kaat kanning	k a a t # k a nː i n g
27	Kannada	bite	16	bite-A	kaḍi-		kaḍi-	k a ɖ i +
1403	Kodava	bite	16	bite-A	kaɖi		kaɖi	k a ɖ i
2811	Kota	bite	16	bite-A	kaɖə		kaɖə	k a ɖ ə
1524	Malayalam	bite	16	bite-A	kadikkuga		kadikkuga	k a d i kː u g a
2161	Tamil	bite	16	bite-A	kaɖi		kaɖi	k a ɖ i
1627	Yeruva	bite	16	bite-A	kaɖi		kaɖi	k a ɖ i
2035	Toda	bite	324	bite-B	paɾtʃiʈtʃi		paɾtʃiʈtʃi	p a ɾ tʃ i ʈ tʃ i
2708	Kolami	bite	739	bite-C	atekaʂin		atekaʂin	a t e k a ʂ i n
1192	Koya	bite	193	bite-D	koɾaka		koɾaka	k o ɾ a k a
418	Parji	bite	193	bite-D	kork-		kork-	k o r k +
816	Telugu	bite	193	bite-D	koɾuku		koɾuku	k o ɾ u k u
1832	Badga	bite	323	bite-F	katʃtʃə		katʃtʃə	k a tːʃ ə
2601	Gondi	bite	323	bite-F	kask		kask	k a s k
1302	Kannada	bite	323	bite-F	katʃtʃu		katʃtʃu	k a tːʃ u
1193	Koya	bite	323	bite-F	katʃtʃa:		katʃtʃa:	k a tːʃ aː
2390	Kurukh	bite	323	bite-F	kʰatʃtʃna		kʰatʃtʃna	kʰ a tːʃ n a
2918	Kuwi	bite	323	bite-F	katʃine		katʃine	k a tʃ i n e
1934	Tulu	bite	325	bite-G	tina:ɾa		tina:ɾa	t i n aː ɾ a
3037	Malto	bite	740	bite-H	ko:hi		ko:hi	k oː h i
1867	Badga	black	18	black-A	kappə		kappə	k a pː ə
2321	Betta_Kurumba	black	18	black-A	kaɾtənu ipədə		kaɾtənu ipədə	k a ɾ t ə n u # i p ə d ə
2641	Gondi	black	18	black-A	kaɾə		kaɾə	k a ɾ ə
1337	Kannada	black	18	black-A	kappu		kappu	k a pː u
1437	Kodava	black	18	black-A	kaɾtadə		kaɾtadə	k a ɾ t a d ə
2847	Kota	black	18	black-A	kaɾuppə		kaɾuppə	k a ɾ u pː ə
1234	Koya	black	18	black-A	ka:ʈe		ka:ʈe	k aː ʈ e
1560	Malayalam	black	18	black-A	kaɾuppə		kaɾuppə	k a ɾ u pː ə
2202	Tamil	black	18	black-A	kaɾəppə		kaɾəppə	k a ɾ ə pː ə
2071	Toda	black	18	black-A	kappə		kappə	k a pː ə
1969	Tulu	black	18	black-A	kappu		kappu	k a pː u
1661	Yeruva	black	18	black-A	kaɾtaji		kaɾtaji	k a ɾ t a j i
1233	Koya	black	19	black-B	nalla		nalla	n a lː a
857	Telugu	black	19	black-B	nalupu		nalupu	n a l u p u
2089	Telugu	black	19	black-B	nalla		nalla	n a lː a
2960	Kuwi	black	843	black-C	kadia		kadia	k a d i a
2532	Brahui	black	196	black-D	ma:on		ma:on	m aː o n
2425	Kurukh	black	196	black-D	mokʰaɾo		mokʰaɾo	m o kʰ a ɾ o
31	Kannada	black	545	black-E	karu-		karu-	k a r u +
3076	Malto	black	844	black-F	maɖhaɾo		maɖhaɾo	m a ɖ h a ɾ o
2744	Kolami	black	845	black-G	ɖa:ɾiate		ɖa:ɾiate	ɖ aː ɾ i a t e
1803	Badga	blood	20	blood-A	rattə	LOAN	rattə	r a tː ə
1273	Kannada	blood	20	blood-A	ɾakta	LOAN	ɾakta	ɾ a k t a
1489	Malayalam	blood	20	blood-A	ɾektam	LOAN	ɾektam	ɾ e k t a m
2126	Tamil	blood	20	blood-A	ɾattam	LOAN	ɾattam	ɾ a tː a m
782	Telugu	blood	20	blood-A	ɾaktamu	LOAN	ɾaktamu	ɾ a k t a m u
1804	Badga	blood	197	blood-B	nettuɾu		nettuɾu	n e tː u ɾ u
2253	Betta_Kurumba	blood	197	blood-B	nəttəɾə		nəttəɾə	n ə tː ə ɾ ə
2465	Brahui	blood	197	blood-B	ditaɾ		ditaɾ	d i t a ɾ
2573	Gondi	blood	197	blood-B	nettuɾ		nettuɾ	n e tː u ɾ
2679	Kolami	blood	197	blood-B	nettuɾ		nettuɾ	n e tː u ɾ
2783	Kota	blood	197	blood-B	ne:tuɾu		ne:tuɾu	n eː t u ɾ u
1156	Koya	blood	197	blood-B	nettuɾ		nettuɾ	n e tː u ɾ
2890	Kuwi	blood	197	blood-B	nettir		nettir	n e tː i r
3118	Ollari_Gadba	blood	197	blood-B	nettiɾ		nettiɾ	n e tː i ɾ
427	Parji	blood	197	blood-B	netir		netir	n e t i r
783	Telugu	blood	197	blood-B	nettuɾu		nettuɾu	n e tː u ɾ u
1906	Tulu	blood	197	blood-B	nettarə		nettarə	n e tː a r ə
2362	Kurukh	blood	198	blood-C	kʰe:ns		kʰe:ns	kʰ eː n s
1375	Kodava	blood	406	blood-D	tʃo:ɾə		tʃo:ɾə	tʃ oː ɾ ə
1490	Malayalam	blood	406	blood-D	tʃo:ɾa		tʃo:ɾa	tʃ oː ɾ a
1598	Yeruva	blood	406	blood-D	tʃo:ɾe		tʃo:ɾe	tʃ oː ɾ e
2007	Toda	blood	407	blood-E	po:kʰə		po:kʰə	p oː kʰ ə
3007	Malto	blood	650	blood-F	ɾasadu		ɾasadu	ɾ a s a d u
1805	Badga	bone	21	bone-A	ilə		ilə	i l ə
2254	Betta_Kurumba	bone	21	bone-A	jaləʋə		jaləʋə	j a l ə ʋ ə
1274	Kannada	bone	21	bone-A	jelubu		jelubu	j e l u b u
2784	Kota	bone	21	bone-A	jeluʋə		jeluʋə	j e l u ʋ ə
1492	Malayalam	bone	21	bone-A	ellə		ellə	e lː ə
2127	Tamil	bone	21	bone-A	elumbə		elumbə	e l u m b ə
784	Telugu	bone	21	bone-A	jemuka		jemuka	j e m u k a
2008	Toda	bone	21	bone-A	elf		elf	e l f
1907	Tulu	bone	21	bone-A	ellə		ellə	e lː ə
2574	Gondi	bone	199	bone-B	bokka		bokka	b o kː a
2680	Kolami	bone	199	bone-B	bokka		bokka	b o kː a
1157	Koya	bone	199	bone-B	bu:la:		bu:la:	b uː l aː
1158	Koya	bone	199	bone-B	bu:lk		bu:lk	b uː l k
433	Parji	bone	199	bone-B	būla		būla	b uː l a
2220	Telugu	bone	199	bone-B	bokka		bokka	b o kː a
3008	Malto	bone	200	bone-C	o:tʃuldi:		o:tʃuldi:	oː tʃ u l d iː
2221	Kannada	bone	403	bone-D	mu:ɭe		mu:ɭe	m uː ɭ e
1376	Kodava	bone	403	bone-D	mu:ɭe		mu:ɭe	m uː ɭ e
1599	Yeruva	bone	403	bone-D	mu:ɭe		mu:ɭe	m uː ɭ e
1491	Malayalam	bone	405	bone-E	asti		asti	a s t i
2363	Kurukh	bone	651	bone-F	kʰotʃol		kʰotʃol	kʰ o tʃ o l
2466	Brahui	bone	652	bone-G	aɖɖə		aɖɖə	a ɖː ə
1827	Badga	breast	22	breast-A	ma:ɾə		ma:ɾə	m aː ɾ ə
42	Malayalam	breast	22	breast-A	māṟu		māṟu	m aː r̪ u
2155	Tamil	breast	22	breast-A	ma:ɾbə		ma:ɾbə	m aː ɾ b ə
2156	Tamil	breast	22	breast-A	ma:ɾə		ma:ɾə	m aː ɾ ə
43	Kannada	breast	23	breast-B	ede		ede	e d e
1187	Koya	breast	23	breast-B	eddam		eddam	e d d a m
439	Parji	breast	23	breast-B	edram		edram	e d r a m
44	Telugu	breast	24	breast-C	gunde		gunde	g u n d e
2030	Toda	breast	311	breast-E	nidʒikuɖi		nidʒikuɖi	n i dʒ i k u ɖ i
1397	Kodava	breast	309	breast-F	mele		mele	m e l e
2806	Kota	breast	309	breast-F	me:l		me:l	m eː l
1519	Malayalam	breast	309	breast-F	mula		mula	m u l a
1622	Yeruva	breast	309	breast-F	mele		mele	m e l e
1297	Kannada	breast	310	breast-G	stʰana		stʰana	s tʰ a n a
1518	Malayalam	breast	310	breast-G	stanam		stanam	s t a n a m
811	Telugu	breast	310	breast-G	stʰanamu		stʰanamu	s tʰ a n a m u
1929	Tulu	breast	312	breast-H	tigala		tigala	t i g a l a
2277	Betta_Kurumba	breast	462	breast-I	kujndigi		kujndigi	k u j n d i g i
2491	Brahui	breast	718	breast-J	xad		xad	x a d
3031	Malto	breast	719	breast-K	daibuku		daibuku	d a i b u k u
2385	Kurukh	breast	720	breast-L	jeʋakʰ		jeʋakʰ	j e ʋ a kʰ
2702	Kolami	breast	721	breast-M	sa:tti		sa:tti	s aː tː i
2596	Gondi	breast	722	breast-N	dudo		dudo	d u d o
3142	Ollari_Gadba	breast	723	breast-O	palgil		palgil	p a l g i l
2913	Kuwi	breast	724	breast-P	sipadaki		sipadaki	s i p a d a k i
2314	Betta_Kurumba	burn	540	burn-A	bja:ɭ ~ ben		bja:ɭ	b j aː ɭ
848	Telugu	burn	532	burn-B	ka:lu		ka:lu	k aː l u
1330	Kannada	burn	203	burn-C	suɖu		suɖu	s u ɖ u
1430	Kodava	burn	203	burn-C	tʃu:ɖə		tʃu:ɖə	tʃ uː ɖ ə
1654	Yeruva	burn	203	burn-C	tʃu:ɖə		tʃu:ɖə	tʃ uː ɖ ə
2194	Tamil	burn	528	burn-D	eɾi		eɾi	e ɾ i
1860	Badga	burn	530	burn-E	kitʃi:kdə		kitʃi:kdə	k i tʃ iː k d ə
2313	Betta_Kurumba	burn	530	burn-E	kattu ~ kettu		kattu	k a tː u
2840	Kota	burn	530	burn-E	ka:to		ka:to	k aː t o
1553	Malayalam	burn	530	burn-E	katikkuga		katikkuga	k a t i kː u g a
2064	Toda	burn	530	burn-E	ti:kku ka:ttiti		ti:kku ka:ttiti	t iː kː u # k aː tː i t i
1225	Koya	burn	534	burn-F	maɳɖu		maɳɖu	m a ɳ ɖ u
849	Telugu	burn	534	burn-F	maɳɖu		maɳɖu	m a ɳ ɖ u
1962	Tulu	burn	535	burn-G	pottaʋaɾa		pottaʋaɾa	p o tː a ʋ a ɾ a
2525	Brahui	burn	808	burn-H	xa:xaɾ tinning		xa:xaɾ tinning	x aː x a ɾ # t i nː i n g
2631	Gondi	burn	809	burn-I	niɾus		niɾus	n i ɾ u s
3068	Malto	burn	810	burn-J	me:da		me:da	m eː d a
2418	Kurukh	burn	811	burn-K	olna		olna	o l n a
2736	Kolami	burn	812	burn-L	gonɖka		gonɖka	g o n ɖ k a
1508	Malayalam	claw	27	claw-A	nakʰam	LOAN	nakʰam	n a kʰ a m
2140	Tamil	claw	27	claw-A	nagam	LOAN	nagam	n a g a m
1817	Badga	claw	28	claw-B	ugilə		ugilə	u g i l ə
2479	Brahui	claw	28	claw-B	hoɾ ad		hoɾ ad	h o ɾ # a d
2586	Gondi	claw	28	claw-B	goɾk		goɾk	g o ɾ k
51	Kannada	claw	28	claw-B	ugaɾu		ugaɾu	u g a ɾ u
1388	Kodava	claw	28	claw-B	ʋoji		ʋoji	ʋ o j i
2692	Kolami	claw	28	claw-B	go:ɾ		go:ɾ	g oː ɾ
1176	Koya	claw	28	claw-B	go:ɾk		go:ɾk	g oː ɾ k
2375	Kurukh	claw	28	claw-B	oɾokʰ		oɾokʰ	o ɾ o kʰ
2903	Kuwi	claw	28	claw-B	gaɾka		gaɾka	g a ɾ k a
3020	Malto	claw	28	claw-B	oɾugdu		oɾugdu	o ɾ u g d u
444	Parji	claw	28	claw-B	gēri		gēri	g eː r i
800	Telugu	claw	28	claw-B	go:ɾu		go:ɾu	g oː ɾ u
2020	Toda	claw	28	claw-B	ju:r		ju:r	j uː r
1919	Tulu	claw	28	claw-B	uguɾu		uguɾu	u g u ɾ u
1611	Yeruva	claw	372	claw-C	ummi		ummi	u mː i
2267	Betta_Kurumba	claw	501	claw-D	ki:jəggəɾə		ki:jəggəɾə	k iː j ə gː ə ɾ ə
2796	Kota	claw	501	claw-D	kaijo:ɾu		kaijo:ɾu	k a i j oː ɾ u
2480	Brahui	claw	685	claw-E	zeel		zeel	z e e l
3132	Ollari_Gadba	claw	686	claw-F	kaʂʋanɖe		kaʂʋanɖe	k a ʂ ʋ a n ɖ e
55	Kannada	cloud	29	cloud-A	mēgha	LOAN	mēgha	m eː g h a
2837	Kota	cloud	29	cloud-A	me:gam	LOAN	me:gam	m eː g a m
1549	Malayalam	cloud	29	cloud-A	mekʰam	LOAN	mekʰam	m e kʰ a m
2191	Tamil	cloud	29	cloud-A	me:gam	LOAN	me:gam	m eː g a m
2086	Telugu	cloud	29	cloud-A	me:gʰamu	LOAN	me:gʰamu	m eː gʱ a m u
2061	Toda	cloud	29	cloud-A	me:gam	LOAN	me:gam	m eː g a m
448	Parji	cloud	206	cloud-B	malgur		malgur	m a l g u r
2628	Gondi	cloud	491	cloud-C	mabbu		mabbu	m a bː u
1221	Koya	cloud	491	cloud-C	mabbu		mabbu	m a bː u
845	Telugu	cloud	491	cloud-C	mabbu		mabbu	m a bː u
2310	Betta_Kurumba	cloud	492	cloud-D	mo:ɖə		mo:ɖə	m oː ɖ ə
1327	Kannada	cloud	492	cloud-D	mo:ɖa		mo:ɖa	m oː ɖ a
1427	Kodava	cloud	492	cloud-D	mo:ɖa		mo:ɖa	m oː ɖ a
2087	Telugu	cloud	492	cloud-D	mo:ɖamu		mo:ɖamu	m oː ɖ a m u
1958	Tulu	cloud	492	cloud-D	mo:ɖa		mo:ɖa	m oː ɖ a
1651	Yeruva	cloud	492	cloud-D	mo:ɖa		mo:ɖa	m oː ɖ a
1857	Badga	cloud	493	cloud-E	mandʒu		mandʒu	m a n dʒ u
2415	Kurukh	cloud	800	cloud-F	bada:li	LOAN	bada:li	b a d aː l i
3065	Malto	cloud	800	cloud-F	badli:	LOAN	badli:	b a d l iː
2522	Brahui	cloud	801	cloud-G	dʒammaɾ		dʒammaɾ	dʒ a mː a ɾ
2733	Kolami	cloud	802	cloud-H	a:bar		a:bar	aː b a r
2943	Kuwi	cloud	803	cloud-I	ha:gu		ha:gu	h aː g u
2944	Kuwi	cloud	804	cloud-J	dunɖaɾa		dunɖaɾa	d u n ɖ a ɾ a
1340	Kannada	cold	30	cold-A	taɳɳige		taɳɳige	t a ɳ ɳ i g e
1441	Kodava	cold	30	cold-A	talindʒadə		talindʒadə	t a l i n dʒ a d ə
1563	Malayalam	cold	30	cold-A	taɳuppə		taɳuppə	t a ɳ u pː ə
1664	Yeruva	cold	30	cold-A	taɳidʒe		taɳidʒe	t a ɳ i dʒ e
2208	Tamil	cold	31	cold-B	kuɭiɾtʃi		kuɭiɾtʃi	k u ɭ i ɾ tʃ i
2644	Gondi	cold	32	cold-C	sallag		sallag	s a lː a g
1237	Koya	cold	32	cold-C	salla:		salla:	s a lː aː
860	Telugu	cold	32	cold-C	tʃalla		tʃalla	tʃ a lː a
1972	Tulu	cold	32	cold-C	tʃappa		tʃappa	tʃ a pː a
2747	Kolami	cold	207	cold-D	pani		pani	p a n i
3080	Malto	cold	207	cold-D	panija:		panija:	p a n i j aː
451	Parji	cold	207	cold-D	pañil		pañil	p a ɲ i l
1440	Kodava	cold	510	cold-E	ko:ʈa		ko:ʈa	k oː ʈ a
2074	Toda	cold	510	cold-E	koɾti		koɾti	k o ɾ t i
2324	Betta_Kurumba	cold	511	cold-F	səjlijə		səjlijə	s ə j l i j ə
1871	Badga	cold	512	cold-G	koɾuʋə		koɾuʋə	k o ɾ u ʋ ə
2850	Kota	cold	512	cold-G	koɾʋə		koɾʋə	k o ɾ ʋ ə
2429	Kurukh	cold	852	cold-H	ki:ɾna		ki:ɾna	k iː ɾ n a
3081	Malto	cold	852	cold-H	kiʋa		kiʋa	k i ʋ a
2535	Brahui	cold	853	cold-I	jakʰ		jakʰ	j a kʰ
2536	Brahui	cold	853	cold-I	jax		jax	j a x
1842	Badga	come	33	come-A	pappa		pappa	p a pː a
2293	Betta_Kurumba	come	33	come-A	ba:ɾ ~ ban ~ bu		ba:ɾ	b aː ɾ
2506	Brahui	come	33	come-A	banning		banning	b a nː i n g
2613	Gondi	come	33	come-A	ʋa		ʋa	ʋ a
63	Kannada	come	33	come-A	baru-		baru-	b a r u +
1312	Kannada	come	33	come-A	ba:		ba:	b aː
1413	Kodava	come	33	come-A	ba:		ba:	b aː
2718	Kolami	come	33	come-A	ʋa		ʋa	ʋ a
1203	Koya	come	33	come-A	ʋa		ʋa	ʋ a
